stationid,name,longitude,latitude ,free_bikes,empty_slots,total_bikes
fccc47cfce1447df0ad26a52c8702dd6,IUSMM (Georges-Villeneuve),-73.52969169616699,45.58661042838809,9,16,25
8326ad85524fa7fa9e741b0cc595d098,Square Nelligan (des Appalaches / Alexis-Nihon),-73.70799824595451,45.51431824920811,0,15,15
99225e1b15b81b48a3eab08fd447ecca,Parc MacDonald (Clanranald / Isabella),-73.63497912883759,45.48274245886277,5,7,12
0d4d6ab1ff41bf892ecbb0e09a8e2f40,La Tour de Montréal (Pierre-de-Coubertin / Bennett),-73.55155438184738,45.55970526805903,6,16,22
4bc7ec27e8646cc8b33932be911bef47,St-Antoine / 19e avenue,-73.68146234754022,45.43993803436114,9,6,15
e335f2f5ad674c200bb9795ee863749c,Messier / St-Joseph,-73.57605636119843,45.53946063965585,3,9,12
b75fbc1bd56893e4c66bd1d44ddcab20,Parc Painter (Marcotte / Quenneville),-73.67731243371964,45.528630548578505,0,13,13
30efd061ab22a0caa3dc67f5e027154e,Square Viger (Berri / Viger),-73.55481594800949,45.5121682576952,29,1,30
76d6ac391db2e789d1696e32fccf92f6,Dorion / Ontario,-73.55821162462234,45.526991277453526,20,13,33
fc65618ae7237066d294ca905b721a7d,Larivière / de Lorimier,-73.55923354625702,45.5291345371163,10,22,32
3e138c9acff07bff5f9e684c01bc564f,Viger / Chenneville,-73.56089115142822,45.50531166520915,2,30,32
0d4eff17975078517d6779b678d99fa3,René-Lévesque / Papineau,-73.5499919950962,45.52097057660443,5,21,26
500c120794c1aa9d469e7790733beb68,Logan / Fullum,-73.55117082595825,45.52836601591233,4,14,18
4d789cbd45c1e79cdcf0df4fb1ef3e4a,Joseph-Manseau / René-Lévesque,-73.57676714658737,45.491686521008035,2,15,17
626d82ddcbbfc81da586433f143130fe,Logan / d'Iberville,-73.54911457747221,45.53061161207863,5,14,19
ebf264e5f3baddba6e40eba2fe7351e7,du Havre / de Rouen,-73.55478646466509,45.53456256501449,16,10,26
cecb49c91023c7469470569da814659e,Square Victoria (Viger / du Square-Victoria),-73.56295,45.50206,18,1,19
69f583a85e1a83b443c203b781bfc0c9,Métro Peel (de Maisonneuve / Stanley),-73.57507,45.50038,3,43,46
67e9107a618d74937eb2e16f38e818e7,St-Antoine / St-François-Xavier,-73.55918794870377,45.50459069556304,1,17,18
7efdfc0229daac74cfa58a8a39d13ac2,Métro Place-d'Armes (Viger / St-Urbain),-73.55967122894072,45.50631445605528,15,12,27
4a754bbdf7514d1e8e49d394cc5b10a8,Métro Laurier (Berri / Laurier),-73.58843871625139,45.52809995527671,6,15,21
b9d14281ceeaf9913a820adab2e125c6,St-Hubert / de Maisonneuve (nord),-73.56049686670303,45.51613214980722,8,15,23
7a50f09abc2d0051cefd3510ca4f6af8,de Rouen / Lespérance,-73.5528177022934,45.538859462962286,2,21,23
249f1231d93aa589fc7d85b327cfbdc8,Calixa-Lavallée / Sherbrooke,-73.56545,45.52479,0,18,18
