category,latitude,longitude,POI,station
park,43.26319844157448,-79.87180307507515,Bayfront Park,3
park,43.26319844157448,-79.87180307507515,Gore Park,3
park,43.26319844157448,-79.87180307507515,Gore Park Promenade,3
park,43.26319844157448,-79.87180307507515,City Hall Parkette,3
park,43.26319844157448,-79.87180307507515,Beasley Park,3
park,43.26319844157448,-79.87180307507515,McLaren Park,3
park,43.26319844157448,-79.87180307507515,Premier Fitness Parking Lot,3
park,43.26319844157448,-79.87180307507515,York Boulevard Parkade,3
park,43.26319844157448,-79.87180307507515,Lulu's Shawarma,3
park,43.26319844157448,-79.87180307507515,Synonym,3
restaurant,43.26319844157448,-79.87180307507515,Subway,3
restaurant,43.26319844157448,-79.87180307507515,Mulberry Street Coffeehouse,3
restaurant,43.26319844157448,-79.87180307507515,Crystal Dynasty Chinese Restaurant,3
restaurant,43.26319844157448,-79.87180307507515,Charred,3
restaurant,43.26319844157448,-79.87180307507515,Park Street Café,3
restaurant,43.26319844157448,-79.87180307507515,Saltlick Smokehouse,3
restaurant,43.26319844157448,-79.87180307507515,The Burnt Tongue,3
restaurant,43.26319844157448,-79.87180307507515,Pho Dau Bo Restaurant,3
restaurant,43.26319844157448,-79.87180307507515,Ola Bakery & Pastries,3
restaurant,43.26319844157448,-79.87180307507515,Born and Raised,3
park,43.2561324863605,-79.8744987564414,Gore Park,4
park,43.2561324863605,-79.8744987564414,City Hall Parkette,4
park,43.2561324863605,-79.8744987564414,Chedoke park,4
park,43.2561324863605,-79.8744987564414,Gore Park Promenade,4
park,43.2561324863605,-79.8744987564414,Durand Park,4
park,43.2561324863605,-79.8744987564414,HAAA Park,4
park,43.2561324863605,-79.8744987564414,HAAA Grounds,4
park,43.2561324863605,-79.8744987564414,Pheasant Plucker Parking Lot,4
park,43.2561324863605,-79.8744987564414,McLaren Park,4
park,43.2561324863605,-79.8744987564414,The George Hamilton,4
restaurant,43.2561324863605,-79.8744987564414,The George Hamilton,4
restaurant,43.2561324863605,-79.8744987564414,Vida la Pita,4
restaurant,43.2561324863605,-79.8744987564414,Bastoni's Shawarma & Grill,4
restaurant,43.2561324863605,-79.8744987564414,Toby's Goodeats,4
restaurant,43.2561324863605,-79.8744987564414,Coop Hamilton,4
restaurant,43.2561324863605,-79.8744987564414,Mezza Caffe,4
restaurant,43.2561324863605,-79.8744987564414,Smoke's Poutinerie,4
restaurant,43.2561324863605,-79.8744987564414,Anchor Bar,4
restaurant,43.2561324863605,-79.8744987564414,Coop Wicked Chicken Hamilton,4
restaurant,43.2561324863605,-79.8744987564414,La Luna Restaurant Downtown,4
park,43.2538302267771,-79.8753935613187,Gore Park,5
park,43.2538302267771,-79.8753935613187,City Hall Parkette,5
park,43.2538302267771,-79.8753935613187,Chedoke park,5
park,43.2538302267771,-79.8753935613187,Durand Park,5
park,43.2538302267771,-79.8753935613187,Gore Park Promenade,5
park,43.2538302267771,-79.8753935613187,HAAA Park,5
park,43.2538302267771,-79.8753935613187,Shamrock Park,5
park,43.2538302267771,-79.8753935613187,HAAA Grounds,5
park,43.2538302267771,-79.8753935613187,Pheasant Plucker Parking Lot,5
park,43.2538302267771,-79.8753935613187,Mapleside Park,5
restaurant,43.2538302267771,-79.8753935613187,One Duke Restaurant & Lounge,5
